author_sort,title,series,series_index,Stars (out of 5)
"Arden, William",The Mystery of the Dancing Devil,The Three Investigators,25,4
"Arden, William",The Mystery of the Headless Horse,The Three Investigators,26,4
"Arden, William",The Mystery of the Deadly Double,The Three Investigators,28,4
"Arden, William",The Mystery of the Purple Pirate,The Three Investigators,33,3
"Argula, Anne",Homicide My Own,Quinn,1,5
"Ariely, Dan",The Upside Of Irrationality,,1,5
"Armstrong, Delson",Red Serpent: The Falsifier,,1,5
"Armstrong, Karen",A Short History of Myth,The Myths,1,5
"Armstrong, Karen","A History of God: the 4000-year quest of Judaism, Christianity, and Islam",,1,5
"Armstrong, Karen",Buddha,,1,4
"Armstrong, Karen",The Case for God,,1,5
"Armstrong, Karen",Twelve Steps to a Compassionate Life,,1,5
"Armstrong, Kelley",The Summoning,Darkest Powers,1,4
"Armstrong, Kelley",The Awakening,Darkest Powers,2,4
"Armstrong, Kelley",The Reckoning,Darkest Powers,3,4
"Armstrong, Kelley",Exit Strategy,Nadia Stafford,1,5
"Armstrong, Kelley",Made to Be Broken,Nadia Stafford,2,3
"Armstrong, Kelley",Bitten,Women of the Otherworld,1,4
"Armstrong, Kelley",Stolen,Women of the Otherworld,2,4
"Armstrong, Kelley",Women of the Otherworld,Women of the Otherworld,3,4
"Armstrong, Kelley",Industrial Magic,Women of the Otherworld,4,4
"Armstrong, Kelley",Haunted,Women of the Otherworld,5,4
"Armstrong, Kelley",Broken,Women of the Otherworld,6,4
"Armstrong, Kelley",No Humans Involved,Women of the Otherworld,7,4
"Armstrong, Kelley",Personal Demon,Women of the Otherworld,8,4
"Armstrong, Kelley",Living with the Dead,Women of the Otherworld,9,4
"Armstrong, Kelley",Men of the Otherworld,Women of the Otherworld,10,4
"Armstrong, Kelley",Waking the Witch,Women of the Otherworld,11,4
"Armstrong, Lori",Mercy Kill: A Mystery,,1,5
"Armstrong, Lori G.",Snow Blind,PI Julie Collins,4,5
"Arngrim, Alison",Confessions of a Prairie Bitch: How I Survived Nellie Oleson and Learned to Love Being Hated,,1,5
"Arsenault, Emily",The Broken Teaglass,,1,4
"Arthur, Robert",The Secret of the Terror Castle,The Three Investigators,1,4
"Arthur, Robert",The Mystery of the Stuttering Parrot,The Three Investigators,2,4
"Arthur, Robert",The Mystery of the Whispering Mummy,The Three Investigators,3,4
"Arthur, Robert",The Mystery of the Green Ghost,The Three Investigators,4,4
"Arthur, Robert",The Mystery of the Vanishing Treasure,The Three Investigators,5,4
"Arthur, Robert",The Secret of Skeleton Island,The Three Investigators,6,3
"Arthur, Robert",The Mystery of the Fiery Eye,The Three Investigators,7,4
"Arthur, Robert",The Mystery of the Silver Spider,The Three Investigators,8,4
"Arthur, Robert",The Mystery of the Screaming Clock,The Three Investigators,9,4
"Arthur, Robert",The Mystery of the Talking Skull,The Three Investigators,11,4
"Ash, Maureen",Murder for Christ's Mass,Templar Knight Mystery,4,5
"Ash, Sarah",Tracing the Shadow,Alchymist's legacy,1,5
"Ash, Sarah",Flight Into Darkness,Alchymist's legacy,2,5
"Ash, Sarah",Lord of Snow and Shadows,Tears of Artamon,1,5
"Ash, Sarah",Prisoner of the Iron Tower,Tears of Artamon,2,5
"Asher, Neal",The Technician,Polity,3,5
"Ashley, Mike",The Mammoth Book of Apocalyptic SF,,1,5
"Ashworth, Adele",My Darling Caroline,,1,5
"Asimov, Isaac",Prelude to Foundation,Foundation,1,4
"Asimov, Isaac",Forward the Foundation,Foundation,2,4
"Asimov, Isaac",Foundation,Foundation,3,4
"Asimov, Isaac",Foundation and Empire,Foundation,4,4
"Asimov, Isaac",Second Foundation,Foundation,5,4
"Asimov, Isaac",Foundation's Edge,Foundation,6,4
"Asimov, Isaac & Hantula, Richard",Science Fiction: Vision of Tomorrow,Foundation,7,5
"Atkins, Ace",Devil's Garden,,1,5
"Atkins, Ace",Infamous,,1,5
"Atkinson, Kate","Started Early, Took My Dog",Jackson Brodie novels,4,5
"Atwater-Rhodes, Amelia",All Just Glass,,1,5
"Atwater-Rhodes, Amelia",The Den of Shadows Quartet,,1,5
"Atwood, Margaret",The Penelopiad,The Myths,2,5
"Atwood, Margaret",Oryx and Crake: A Novel,,1,4
"Atwood, Margaret",The Blind Assassin,,1,5
"Atwood, Margaret",The Year of the Flood,,1,5
"Atwood, Margaret & Martin, Valerie",The Handmaid's Tale,,1,4
"Auel, Jean M.",The clan of the cave bear: a novel,Earth's children,1,5
"Auel, Jean M.",The Valley of Horses: A Novel,Earth's children,2,5
